Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,71,Savannah Taylor,SoH,Female,4.19,Team 7
G-1,4820,Meera Singh,CoE,Female,4.22,Team 7
G-1,588,Lucas Walker,MAE,Male,04.06,Team 8
G-1,2151,Mei Hong,EEE,Female,04.02,Team 8
G-1,4657,Oleg Petrovich,SoH,Male,4,Team 8
G-1,3861,Layla Torres,ASE,Female,4.52,Team 8
G-1,4402,Grace Turner,CCDS,Female,04.08,Team 8
G-1,2115,Anya Kumar,EEE,Female,04.03,Team 9
G-1,2776,Siddharth Nair,CCEB,Male,4.14,Team 9
G-1,1271,Priya Singh,SSS,Female,4.17,Team 9
G-1,1645,Zachary Wu,CoE,Male,3.93,Team 9
G-1,1383,Areeba Khan,CoB (NBS),Female,4.19,Team 9
G-1,2230,Harlow Wang,CoB (NBS),Female,4.18,Team 10
G-1,3838,Aarti Nair,EEE,Female,04.05,Team 10
G-1,75,Sakina Ahmed,CCDS,Female,04.03,Team 10
G-1,2818,Oliver Tan,CoB (NBS),Male,04.09,Team 10
G-1,5708,Ananya Ramesh,SoH,Male,4.2,Team 10
G-10,2405,Soo-Young Kim,ASE,Female,3.88,Team 1
G-10,3329,Adrian Castillo,MAE,Male,04.07,Team 1
G-10,3794,Christopher Miller,CoB (NBS),Male,4.17,Team 1
G-10,5121,Ximena Fernandez,MSE,Female,4.12,Team 1
G-10,4308,Sho Nakajima,MAE,Male,4.27,Team 1
G-10,3903,Xiao Chen,CoE,Male,3.86,Team 2
G-10,565,Isaiah Scott,SoH,Male,4.15,Team 2
G-10,1468,Ming Wei,MAE,Male,4.19,Team 2
G-10,435,Kiran Farooq,WKW SCI,Female,4.15,Team 2
G-10,3843,Mia Zhang,EEE,Female,4.18,Team 2
G-10,3364,Rhea Kapoor,MAE,Female,4,Team 3
G-10,2031,Kendrick Alvarado,CCDS,Male,4.18,Team 3
G-10,223,Jaxon Hall,MAE,Male,4.12,Team 3
G-10,16,Tatum Flores,EEE,Female,4.2,Team 3
G-10,5420,Nina Patil,NIE,Female,4.1,Team 3
G-10,1139,Nurul Aini Binti Ahmad,SPMS,Female,4.2,Team 4
G-10,2581,Alyssa Green,ASE,Female,3.94,Team 4
G-10,2253,Dante Wu,EEE,Male,4.18,Team 4
G-10,516,Tao Liu,ADM,Male,04.05,Team 4
G-10,5856,Sophie Cheung,MAE,Female,4.2,Team 4
G-10,5734,Hassan Malik,MAE,Male,04.03,Team 5
G-10,2631,Kiara Lin,CCDS,Female,04.06,Team 5
G-10,2515,Tanya Lee,CoE,Female,04.04,Team 5
G-10,4020,Leo Xu,CoB (NBS),Male,4.12,Team 5
G-10,403,Hae-Jin Lee,SoH,Female,4.52,Team 5
G-10,375,Kaya Chang,SBS,Female,04.05,Team 6
G-10,3189,Rhea Lee,CCEB,Female,04.07,Team 6
G-10,3388,Zaki Bin Ibrahim,EEE,Male,4,Team 6
G-10,3732,Liam Jones,CCDS,Male,4.2,Team 6
G-10,2863,Will Chen,MAE,Male,4.23,Team 6
G-10,5122,Kerry Lim,CCEB,Female,04.01,Team 7
G-10,5695,Rhys Tan,WKW SCI,Male,04.06,Team 7
G-10,4108,Rizan Bin Ahmad,MAE,Male,4.11,Team 7
G-10,560,Ayesha Javed,SoH,Female,04.09,Team 7
G-10,4477,Yuzhi,SPMS,Male,4.25,Team 7
G-10,3841,Benjamin Turner,SBS,Male,04.06,Team 8
G-10,3111,Marco Garcia,CEE,Male,04.04,Team 8
G-10,4588,Paula Wong,CoB (NBS),Female,04.06,Team 8
G-10,298,Freya Chen,MAE,Female,04.09,Team 8
G-10,4077,Yasir Ahmad,SoH,Male,4.52,Team 8
G-10,3395,Michael Miller,CoB (NBS),Male,3.95,Team 9
G-10,171,Nina Bennett,CCEB,Female,04.08,Team 9
G-10,5624,Cheng Zhang,EEE,Male,4.11,Team 9
G-10,3499,Kira Yamada,CCDS,Female,4.26,Team 9
G-10,611,Hendra Mulyana,SPMS,Male,4.1,Team 9
G-10,3963,Yasmine Villanueva,SSS,Female,04.02,Team 10
G-10,3051,Hunter Wilson,LKCMedicine,Male,04.06,Team 10
G-10,2255,Xander Cook,CoE,Male,4.1,Team 10
G-10,594,Ananya Singh,MAE,Female,4.2,Team 10
G-10,2857,Tianming,SoH,Female,4.2,Team 10
G-100,5800,Yumi Nishikawa,CoB (NBS),Female,4.14,Team 1
G-100,2698,Owen Hill,CCDS,Male,04.03,Team 1
G-100,1875,Rachel Lee,SoH,Female,4.11,Team 1
G-100,2017,Caiyun,CoE,Male,3.91,Team 1
G-100,4061,Naina Gupta,CCEB,Female,4.2,Team 1
G-100,3242,Aiden Brown,WKW SCI,Male,3.9,Team 2
G-100,967,Mia Phillips,SBS,Female,4.17,Team 2
G-100,491,Fangling,CoB (NBS),Female,04.05,Team 2
G-100,5791,Peter Choi,EEE,Male,4.19,Team 2
G-100,1795,Tao Wang,SSS,Female,4.12,Team 2
G-100,2009,Isabella Thomas,CCDS,Female,3.9,Team 3
G-100,2000,Danty Susanto,NIE,Male,04.05,Team 3
G-100,4283,Hassan Farooq,ADM,Female,4.1,Team 3
G-100,5953,Orlando Wu,SBS,Male,04.01,Team 3
G-100,424,Ashok Nair,CEE,Male,4.52,Team 3
G-100,370,Mia Wong,EEE,Female,04.03,Team 4
G-100,438,Iris Rivera,MAE,Female,3.95,Team 4
G-100,4888,Carter Moore,NIE,Male,4.1,Team 4
G-100,2040,Wesley Turner,SoH,Male,4.17,Team 4
G-100,701,Ameer Bin Rahman,CoB (NBS),Male,4.2,Team 4
G-100,347,Meera Menon,EEE,Female,3.92,Team 5
G-100,731,Tae-Soo Kim,WKW SCI,Male,04.05,Team 5
G-100,4268,Nadia Binti Azhar,CCEB,Female,4.15,Team 5
G-100,2332,Maya Ong,CoB (NBS),Female,4.14,Team 5
G-100,861,Hua Zhang,MSE,Male,4.17,Team 5
G-100,5534,Neelam Bhatia,SSS,Female,04.05,Team 6
G-100,4743,Jack Foster,SPMS,Male,04.05,Team 6
G-100,5743,Bradley Huang,EEE,Male,04.01,Team 6
G-100,3137,Raquel Huang,LKCMedicine,Female,4.18,Team 6
G-100,3280,Alina Malik,CoB (NBS),Female,4.19,Team 6
G-100,2089,Han Zhang,CoB (NBS),Male,04.02,Team 7
G-100,111,Ying Liu,SPMS,Female,04.03,Team 7
G-100,745,Khalid Rahman,CEE,Male,4.1,Team 7
G-100,1547,Margaret Li,CCEB,Female,4.2,Team 7
G-100,2346,Fiona Clark,EEE,Female,4.15,Team 7
G-100,1176,Mia Hall,CCDS,Female,3.95,Team 8
G-100,4857,Jordan Chen,EEE,Male,04.06,Team 8
G-100,5945,Fergus Mendoza,CoB (NBS),Male,4.11,Team 8
G-100,1145,Fay Tan,CCEB,Female,04.09,Team 8
G-100,1824,Yuanqing,MAE,Female,4.25,Team 8
G-100,2097,Siti Maryam,CoB (NBS),Female,04.03,Team 9
G-100,356,Yasir Qureshi,CoE,Male,04.08,Team 9
G-100,1683,Diya Nair,SSS,Female,4.11,Team 9
G-100,4274,Tommy Wu,EEE,Male,04.03,Team 9
G-100,5269,Anjali Nair,MSE,Female,4.27,Team 9
G-100,2468,Bella Perry,EEE,Female,3.9,Team 10
G-100,2603,Ali Rehman,CoE,Male,4.14,Team 10
G-100,4043,Adrian King,CCDS,Male,4.12,Team 10
G-100,4425,Carla Wang,ASE,Female,4.12,Team 10
G-100,412,Seema Kapoor,MAE,Female,4.19,Team 10
G-101,696,Wyatt Price,NIE,Male,3.95,Team 1
G-101,665,Qi Chen,SPMS,Male,04.04,Team 1
G-101,5741,Isla Young,SBS,Female,4.17,Team 1
G-101,757,Savannah Torres,CCEB,Female,4.2,Team 1
G-101,849,Ethan Taylor,SSS,Male,4.15,Team 1
G-101,456,Wani Binti Jalil,MAE,Female,4,Team 2
G-101,762,Kate Tan,CoE,Female,04.03,Team 2
G-101,4896,Jaxon Lewis,EEE,Male,4.12,Team 2
G-101,1293,Jasper Wang,CCEB,Male,04.08,Team 2
G-101,1235,Nguyen Thi Binh,CCDS,Female,4.21,Team 2
G-101,3382,Madiha Ali,CoB (NBS),Female,3.9,Team 3
G-101,5191,Khayla Rahayu,CCEB,Female,4.15,Team 3
G-101,5809,Hannah Smith,CoE,Female,4.11,Team 3
G-101,3593,Minghao,MAE,Male,4.15,Team 3
G-101,2425,Asher Nelson,SPMS,Male,4.21,Team 3
G-101,715,Zoe King,ASE,Female,3.88,Team 4
G-101,5468,Lucas Chen,CCDS,Male,4.12,Team 4
G-101,2349,Sandeep Rao,EEE,Male,4.14,Team 4
G-101,437,Xiao Ming,CoE,Male,4.17,Team 4
G-101,1346,Lola Tan,SSS,Female,4.2,Team 4
G-101,410,Jin Yang Tan,CoB (NBS),Male,3.95,Team 5
G-101,3886,Ajay Iyer,ADM,Male,4.2,Team 5
G-101,4045,Sofia Reddy,MAE,Female,04.09,Team 5
G-101,5633,Ning Li,CCEB,Female,04.09,Team 5
G-101,4167,Farhan Bin Azhar,SPMS,Male,4.2,Team 5
G-101,3546,Ying Wong,SoH,Female,3.88,Team 6
G-101,2337,Sophia Jones,CoB (NBS),Female,4.18,Team 6
G-101,4346,Manish Singh,SBS,Male,4.1,Team 6
G-101,5015,Fatima Bhatia,ASE,Female,4.19,Team 6
G-101,5987,Owen Nugroho,MAE,Male,4.15,Team 6
G-101,4928,Weijun,SPMS,Male,3.85,Team 7
G-101,3088,Eli Cruz,MSE,Male,4.11,Team 7
G-101,621,Christopher Cox,CCDS,Male,4.12,Team 7
G-101,5291,Rachel Choi,CoB (NBS),Female,4.12,Team 7
G-101,4173,Evelyn Cheung,SBS,Female,4.48,Team 7
G-101,1353,Kieran Harris,MAE,Male,3.91,Team 8
G-101,23,Daphne Tan,CCEB,Female,4.26,Team 8
G-101,5461,Suraj Mishra,CoB (NBS),Male,04.08,Team 8
G-101,4526,Hope Chen,CCDS,Female,04.04,Team 8
G-101,4393,Kevin Brown,EEE,Male,4.18,Team 8
G-101,615,Gia Tsai,SPMS,Female,3.89,Team 9
G-101,35,Riley Lim,SoH,Male,4.48,Team 9
G-101,746,Alani Lin,MAE,Female,04.03,Team 9
G-101,5210,Amaya Sharma,CoE,Female,4.15,Team 9
G-101,2828,Nguyen Hoang Long,NIE,Male,04.05,Team 9
G-101,1839,Kexin,LKCMedicine,Female,4,Team 10
G-101,1545,Carter Thompson,SPMS,Male,04.03,Team 10
G-101,2986,Rishi Tan,CCDS,Male,04.08,Team 10
G-101,2852,Shayla Wang,NIE,Female,04.01,Team 10
G-101,2753,Zadie Harris,MAE,Female,4.52,Team 10
G-102,3439,Asher Clark,SBS,Male,04.03,Team 1
G-102,3168,Sakshi Iyer,MAE,Female,3.94,Team 1
G-102,448,Margarita Sokolova,SSS,Female,04.03,Team 1
G-102,5144,Aria Murphy,CCEB,Female,4.2,Team 1
G-102,2373,Elisha Wu,NIE,Male,4.23,Team 1
G-102,2246,Luca Torres,SoH,Male,4.12,Team 2
G-102,2315,Cheng Fang Tan,SPMS,Male,04.05,Team 2
G-102,3957,Megan Walker,CEE,Female,04.06,Team 2
G-102,2560,Simran Singh,SBS,Female,04.03,Team 2
G-102,1634,Sofia Hernandez,CCDS,Female,4.26,Team 2
G-102,818,Hansel Bautista,SSS,Male,04.06,Team 3
G-102,2221,Levi Huang,EEE,Male,04.04,Team 3
G-102,5023,Svetlana Chernyshova,LKCMedicine,Female,04.06,Team 3
G-102,103,Maximus Wright,CoE,Male,04.05,Team 3
G-102,5690,Maharani Sari,CCEB,Female,4.3,Team 3
G-102,902,Layla Cooper,MSE,Female,04.03,Team 4
G-102,5147,Min-Ji Park,SoH,Female,04.03,Team 4
G-102,5913,Ulysses Salazar,MAE,Male,4.2,Team 4
G-102,956,Raj Tan,SBS,Male,4.17,Team 4
G-102,3413,Kiran Shah,SSS,Female,4.12,Team 4
G-102,5928,Anjali Kumar,SSS,Female,3.95,Team 5
G-102,5578,Minh Tran,CCDS,Male,04.03,Team 5
G-102,4404,Omar Farooq,MAE,Male,4.2,Team 5
G-102,2720,Nira Gupta,WKW SCI,Female,4.12,Team 5
G-102,337,Kanwal Bukhari,CoB (NBS),Female,4.16,Team 5
G-102,783,Ajay Bhatt,CCDS,Male,4.22,Team 6
G-102,2192,Liu Fang,SPMS,Female,04.03,Team 6
G-102,2013,Wyatt Thompson,NIE,Male,04.09,Team 6
G-102,2079,Gina Lau,CoB (NBS),Female,4.15,Team 6
G-102,1768,Travis Lim,SoH,Male,4,Team 6
G-102,4386,Riku Takeda,WKW SCI,Male,04.01,Team 7
G-102,3592,Alina Awan,EEE,Female,4.1,Team 7
G-102,714,Nisha Gupta,CoB (NBS),Female,4.21,Team 7
G-102,3909,Zara Lim,CCEB,Female,4.1,Team 7
G-102,2403,Henry Tan,MAE,Male,4.12,Team 7
G-102,4862,Melati Ahmad,CCDS,Female,3.88,Team 8
G-102,3692,Harsh Kumar,EEE,Male,04.05,Team 8
G-102,613,Nina Phillips,SBS,Female,4.11,Team 8
G-102,3043,Maya Sari,CoE,Female,4.15,Team 8
G-102,2376,Hao Yang Tan,MSE,Male,4.3,Team 8
G-102,2595,Fariha Noor,CoE,Female,4.14,Team 9
G-102,3820,Felix Wong,SSS,Male,4.14,Team 9
G-102,5888,Bradley Yang,CEE,Male,04.09,Team 9
G-102,3717,Nafisa Ali,EEE,Female,3.95,Team 9
G-102,4379,Zoe Martinez,MAE,Female,4.21,Team 9
G-102,5447,Lan Nguyen,CCDS,Female,4.15,Team 10
G-102,39,Lyric Tan,EEE,Female,04.04,Team 10
G-102,1688,Pranata Santoso,MSE,Male,3.95,Team 10
G-102,828,Sakshi Singh,SSS,Female,4.14,Team 10
G-102,1362,Yong Hui,MAE,Male,4.21,Team 10
G-103,4837,Yuna Wong,SBS,Female,04.07,Team 1
G-103,925,Saad Malik,MSE,Male,04.05,Team 1
G-103,3251,Emily Scott,EEE,Female,04.07,Team 1
G-103,4224,Ethan White,SoH,Male,4.11,Team 1
G-103,5040,Dev Sharma,ASE,Male,4.26,Team 1
G-103,5970,Layla Fisher,SBS,Female,04.01,Team 2
G-103,4809,Vikram Singh,EEE,Male,4.13,Team 2
G-103,2302,Yvonne Ng,CEE,Female,3.8,Team 2
G-103,3932,Vy Nguyen,WKW SCI,Male,4.11,Team 2
G-103,3554,Asha Mehta,CCDS,Female,4.52,Team 2
G-103,4678,Irfan Bin Hassan,SPMS,Male,4,Team 3
G-103,18,Alan Chan,CEE,Male,4,Team 3
G-103,1292,Queenie Lee,SoH,Female,04.06,Team 3
G-103,2601,Tommy Wu,SSS,Male,4.22,Team 3
G-103,2602,Fatima Baig,CCDS,Female,4.25,Team 3
G-103,5493,Amna Bukhari,CCEB,Female,4.11,Team 4
G-103,1787,Xiao Wei Tan,CEE,Male,3.95,Team 4
G-103,4612,Kylie Chen,MAE,Female,4.15,Team 4
G-103,4842,Carmen Ong,SoH,Female,04.09,Team 4
G-103,397,Chong Wang,CoB (NBS),Male,4.25,Team 4
G-103,2189,Zachary Lee,CoB (NBS),Male,4.11,Team 5
G-103,2165,David Young,CoE,Male,4.19,Team 5
G-103,952,Nadia Binti Zulkifli,MSE,Female,3.87,Team 5
G-103,1495,Amira Tan,CCDS,Female,4.15,Team 5
G-103,4427,Willow Wong,EEE,Female,4.19,Team 5
G-103,835,Maya Wilson,SoH,Female,4.13,Team 6
G-103,4616,Eli Tan,ASE,Male,3.88,Team 6
G-103,4821,Samantha Khan,CoB (NBS),Female,4.19,Team 6
G-103,5627,Anjali Singh,SSS,Female,4.16,Team 6
G-103,2559,Everett Harris,CEE,Male,4.14,Team 6
G-103,1847,Talha Iqbal,CoE,Male,4.11,Team 7
G-103,1553,Isaac Thompson,EEE,Male,04.03,Team 7
G-103,40,Shiloh Lin,LKCMedicine,Female,04.05,Team 7
G-103,3497,Hikaru Sato,NIE,Male,4.14,Team 7
G-103,1202,Maya Gonzales,SSS,Female,4.22,Team 7
G-103,1613,Graham Jackson,SBS,Male,3.97,Team 8
G-103,344,Tyler Hall,CEE,Male,4.11,Team 8
G-103,4181,Simon Lee,CoB (NBS),Male,04.02,Team 8
G-103,4559,Sofia Kim,EEE,Female,4.17,Team 8
G-103,4964,Hannah Sanders,CCDS,Female,4.2,Team 8
G-103,1879,Naim Bin Hashim,MSE,Male,4.2,Team 9
G-103,778,Selina Loh,CoB (NBS),Female,3.91,Team 9
G-103,1618,Dallas Huang,CEE,Male,04.09,Team 9
G-103,4051,Fatima Malik,MAE,Female,4.18,Team 9
G-103,2679,Khalil Bin Ismail,SSS,Male,04.09,Team 9
G-103,5483,Camila Li,MAE,Female,4.27,Team 10
G-103,1911,Mansoor Qureshi,CEE,Male,4.12,Team 10
G-103,2099,Fahim Hussein,CCDS,Male,04.03,Team 10
G-103,4132,Aria Martinez,EEE,Female,4.18,Team 10
G-103,1551,Maggie Kwan,CCEB,Female,3.91,Team 10
G-104,238,Prashant Joshi,CCEB,Male,04.03,Team 1
G-104,2962,Jun Zhang,CoE,Male,4.19,Team 1
G-104,2273,Samantha Ong,SSS,Female,4.1,Team 1
G-104,4894,Fitri Binti Mohd,CCDS,Female,4,Team 1
G-104,1950,Lila Wu,MAE,Female,04.06,Team 1
G-104,4403,Ying Zhang,EEE,Female,4.18,Team 2
G-104,2556,Chloe Wu,MAE,Female,04.03,Team 2
G-104,5570,Gideon Zhang,SPMS,Male,04.01,Team 2
G-104,4187,Isha Verma,SBS,Female,04.03,Team 2
G-104,33,Waleed Malik,ASE,Male,4.15,Team 2
G-104,2204,Anaya Singh,EEE,Female,4,Team 3
G-104,5263,Lily Ong,CoB (NBS),Female,3.93,Team 3
G-104,1891,Ryder Ward,MAE,Male,4.15,Team 3
G-104,4988,Rafael Wong,CCDS,Male,4.11,Team 3
G-104,2898,Nancy Yeo,SSS,Female,04.08,Team 3
G-104,3050,Nia Wong,CCEB,Female,3.95,Team 4
G-104,1446,Dahlia Chen,NIE,Female,04.04,Team 4
G-104,5317,Zhen Zhang,CoB (NBS),Male,04.06,Team 4
G-104,82,Giselle Wu,SSS,Female,4.14,Team 4
G-104,1395,Anil Reddy,SoH,Male,4.14,Team 4
G-104,3665,Shahid Ali,CCDS,Male,4.11,Team 5
G-104,5684,Emily Johnson,SoH,Female,04.03,Team 5
G-104,1649,Vera Ong,MAE,Female,04.09,Team 5
G-104,2932,Gracelyn Dela Cruz,SSS,Female,3.96,Team 5
G-104,3873,Leo Pranata,CoB (NBS),Male,4.2,Team 5
G-104,5685,Maya Rahman,CCEB,Female,04.06,Team 6
G-104,3080,Tara Wati,NIE,Female,3.85,Team 6
G-104,2653,Chloe Tan,CCDS,Female,4.17,Team 6
G-104,3335,William Yip,EEE,Male,4.22,Team 6
G-104,4664,Lance Alvarado,CoE,Male,04.04,Team 6
G-104,2233,Chloe Scott,SBS,Female,3.85,Team 7
G-104,3268,Gideon Torres,CoB (NBS),Male,04.04,Team 7
G-104,4039,Anita Lim,CCDS,Female,04.06,Team 7
G-104,4349,Benjamin Huang,WKW SCI,Male,4.11,Team 7
G-104,5020,Xena Reed,NIE,Female,4.11,Team 7
G-104,2562,Zainab Noor,SoH,Female,4,Team 8
G-104,3595,Eamon Liu,NIE,Male,4.16,Team 8
G-104,1375,Pallavi Mehta,CEE,Female,04.09,Team 8
G-104,5962,Madison Scott,CoB (NBS),Female,3.92,Team 8
G-104,5596,Jason Tan,CCDS,Male,4.16,Team 8
G-104,1542,John Lim,WKW SCI,Male,3.95,Team 9
G-104,2622,Priya Roy,EEE,Female,4.11,Team 9
G-104,5905,Emi Yamashita,CCDS,Female,4.22,Team 9
G-104,4001,Ashna Mehta,SoH,Female,04.06,Team 9
G-104,90,Chandra Menon,ASE,Male,04.03,Team 9
G-104,1600,Sophia Taylor,WKW SCI,Female,04.06,Team 10
G-104,759,Daniel Adams,CCDS,Male,04.05,Team 10
G-104,832,Sarah Liu,SPMS,Female,04.09,Team 10
G-104,5540,Kamran Farooq,EEE,Male,04.01,Team 10
G-104,3937,Nisha Yadav,SSS,Female,4.18,Team 10
G-105,1529,Devansh Mehta,CCDS,Male,4,Team 1
G-105,4758,Ping An,CoB (NBS),Female,4.1,Team 1
G-105,1789,Dallas Liu,NIE,Male,04.05,Team 1
G-105,4431,Chen Li,SBS,Female,4.12,Team 1
G-105,3728,Lola Zhang,MAE,Female,4.22,Team 1
G-105,5029,Olivia Miller,WKW SCI,Female,3.87,Team 2
G-105,951,Nisha Bansal,SSS,Female,4.15,Team 2
G-105,5339,Callum Williams,SoH,Male,4.19,Team 2
G-105,5355,Nicolas Ramos,CoB (NBS),Male,4.14,Team 2
G-105,3415,Tatum Roberts,CCDS,Female,04.06,Team 2
G-105,1803,Isabella Rodriguez,EEE,Female,3.86,Team 3
G-105,1141,Mei Chen,SSS,Female,04.02,Team 3
G-105,3668,Saad Javed,ADM,Male,4.15,Team 3
G-105,2913,Kunal Mehta,SoH,Male,4.12,Team 3
G-105,5003,Imran Bin Zahid,CCDS,Male,4.3,Team 3
G-105,3345,Vira Dwi,CCEB,Female,3.8,Team 4
G-105,800,Ricky Chen,CoE,Male,04.09,Team 4
G-105,1007,Jonathan Wu,CoB (NBS),Male,04.09,Team 4
G-105,5816,Bennett Liu,CCDS,Male,4.14,Team 4
G-105,4364,Charlotte Gonzalez,MAE,Female,4.22,Team 4
G-105,2161,Tessa Li,EEE,Female,4.14,Team 5
G-105,2010,Trung Le,CEE,Male,04.06,Team 5
G-105,4510,Kylie Zhang,SBS,Female,04.04,Team 5
G-105,401,Haruki Suzuki,CoB (NBS),Male,04.01,Team 5
G-105,5770,Qiana Lestari,NIE,Female,4.25,Team 5
G-105,463,Arjun Nair,MAE,Male,3.92,Team 6
G-105,1564,Amina Binti Zain,EEE,Female,4.15,Team 6
G-105,5950,James Jackson,CEE,Male,04.09,Team 6
G-105,4744,Alyssa Tan,CCDS,Female,4.1,Team 6
G-105,4188,Sophie Reed,SSS,Female,4.23,Team 6
G-105,500,Vincent Wong,CoB (NBS),Male,04.01,Team 7
G-105,1974,Ronald Tan,CEE,Male,04.05,Team 7
G-105,5565,Yumi Tanaka,ASE,Female,04.03,Team 7
G-105,1927,Dao Tran,MSE,Male,4.15,Team 7
G-105,2728,Daphne Li,EEE,Female,4.26,Team 7
G-105,3970,Cora Zhang,CoB (NBS),Female,4.15,Team 8
G-105,333,Maya Torres,CCDS,Female,3.92,Team 8
G-105,3108,Pallavi Kumar,SSS,Female,4.1,Team 8
G-105,1043,Logan Martin,MAE,Male,4.12,Team 8
G-105,4869,Kiran Rao,SPMS,Male,4.15,Team 8
G-105,2732,Addison Lin,SSS,Female,04.02,Team 9
G-105,5218,Julia Tan,MAE,Female,04.04,Team 9
G-105,28,Claudia Tan,CoB (NBS),Female,04.09,Team 9
G-105,1550,Chen Bo,CEE,Male,4.17,Team 9
G-105,2392,Max Johnson,SoH,Male,4.21,Team 9
G-105,5909,Aditi Kumar,SSS,Female,04.01,Team 10
G-105,5377,Yang Jun,CCDS,Male,4.17,Team 10
G-105,5797,Shahid Raza,MAE,Male,04.02,Team 10
G-105,4589,Sabrina Zhao,CCEB,Female,4.11,Team 10
G-105,1490,Amit Agarwal,EEE,Male,4.15,Team 10
G-106,2370,Zedrick Ong,MAE,Male,04.05,Team 1
G-106,4581,Jai Mehta,SPMS,Male,4,Team 1
G-106,5670,Miyu Nishimura,SoH,Female,04.06,Team 1
G-106,850,Sienna Lee,CCDS,Female,3.88,Team 1
G-106,930,Jason Robinson,CoE,Male,4.52,Team 1
G-106,3471,Gandhi Saputra,CCEB,Male,3.95,Team 2
G-106,5983,Sergei Ivanovich,SPMS,Male,4,Team 2
G-106,1785,Gabriella Dela Cruz,MAE,Female,04.01,Team 2
G-106,3330,Jingyi,SSS,Female,4.15,Team 2
G-106,1929,Kavitha Tan,EEE,Female,4.3,Team 2
G-106,5898,Quinn Larson,CCEB,Female,4.12,Team 3
G-106,4783,Rahul Mehta,MAE,Male,04.08,Team 3
G-106,2147,Hafiz Ahmad,WKW SCI,Male,4.14,Team 3
G-106,2588,Mira Binti Zaki,SoH,Female,4.2,Team 3
G-106,5885,Jun Liu,EEE,Female,3.9,Team 3
G-106,5088,Neelam Rani,CCEB,Female,3.95,Team 4
G-106,3001,Piper Chen,CCDS,Female,4.15,Team 4
G-106,2144,Oscar Villanueva,CoE,Male,4.19,Team 4
G-106,330,Dylan Li,EEE,Male,3.9,Team 4
G-106,1294,Nolan Reyes,MAE,Male,4.16,Team 4
G-106,4934,Arya Kapoor,CCEB,Female,3.97,Team 5
G-106,1415,Cleo Morales,NIE,Female,04.02,Team 5
G-106,1580,Nikhil Sharma,WKW SCI,Male,4.11,Team 5
G-106,3686,Cole Huang,EEE,Male,4.19,Team 5
G-106,113,Fahad Ali,MAE,Male,4.19,Team 5
G-106,3008,Thomas Harris,CCDS,Male,3.95,Team 6
G-106,164,Nisha Verma,LKCMedicine,Female,4.18,Team 6
G-106,1002,Priya Nair,CCEB,Female,4.12,Team 6
G-106,5089,Isla Lee,MAE,Female,4.15,Team 6
G-106,4732,Albert Wang,EEE,Male,04.01,Team 6
G-106,1168,Eun-Hee Kim,NIE,Female,4.14,Team 7
G-106,4387,Kathy Tan,CCEB,Female,04.05,Team 7
G-106,4201,Reyansh Iyer,SPMS,Male,4.14,Team 7
G-106,3551,Harrison Moore,EEE,Male,4.19,Team 7
G-106,5093,Megan Zhao,MAE,Female,04.01,Team 7
G-106,2112,Noah Morris,SoH,Male,4.11,Team 8
G-106,4438,Noel Pineda,EEE,Male,4.19,Team 8
G-106,4317,Oliver Martinez,CoB (NBS),Male,4.12,Team 8
